ts,Gen 1,Gen 2,Gen 3,Gen 4
26/02/2019 04:33:06,62.77565765,-2.698798418,63.10670471,47.79301834
26/02/2019 04:32:06,62.87094879,-2.696425915,63.24953079,47.86864853
26/02/2019 04:31:06,62.80266953,-2.68608737,64.44049835,47.72557831
26/02/2019 04:30:06,62.70891953,-2.675748825,63.86824799,48.90489578
26/02/2019 04:29:06,62.71883774,-2.66541028,64.18025208,47.95183182
26/02/2019 04:28:06,62.74208069,-2.655071735,63.689991,48.17351151
26/02/2019 04:27:06,62.76531982,-2.644733429,65.11129761,48.30519485
26/02/2019 04:26:06,62.78856277,-2.634394884,64.689888,48.12841034
26/02/2019 04:25:06,62.81180573,-2.624056339,64.87844086,48.14535904
26/02/2019 04:24:06,63.50413132,-2.613717794,65.15773773,48.2225647
26/02/2019 04:23:06,62.94332886,-2.60337925,65.07382202,48.47717667
26/02/2019 04:22:06,62.78275299,-2.593040705,64.94973755,48.41275406
26/02/2019 04:21:06,62.97570419,-2.582702398,65.16144562,48.34833527
26/02/2019 04:20:06,63.11450958,-2.572363853,65.21075439,49.23835373
26/02/2019 04:19:06,63.80587387,-2.562025309,65.23874664,48.36085892
26/02/2019 04:18:06,64.13037109,-2.551686764,65.26674652,48.65507126
26/02/2019 04:17:06,64.94090271,-2.541348219,65.49475861,48.41862488
26/02/2019 04:16:06,65.39789581,-2.664950609,65.74488831,48.39174271
26/02/2019 04:15:06,65.23123169,-2.650261641,65.39211273,48.45066071
26/02/2019 04:14:06,64.25640869,-2.632568359,65.32254791,48.50958252
26/02/2019 04:13:06,64.52876282,-2.632568359,65.29032135,48.72634506
26/02/2019 04:12:06,65.11817932,-2.632568359,65.71797943,49.50972748
26/02/2019 04:11:06,66.29044342,-2.632568359,67.81608582,50.12446976
26/02/2019 04:10:06,67.1400528,-2.632568359,69.65894318,50.24884796
26/02/2019 04:09:06,67.98966217,-2.632568359,72.50829315,50.51528549
26/02/2019 04:08:06,68.07342529,-2.632568359,72.31983185,50.48559189
26/02/2019 04:07:06,68.11597443,-2.632568359,72.50111389,50.33878326
26/02/2019 04:06:06,67.73440552,-2.632568359,72.16526794,50.19197083
26/02/2019 04:05:06,67.54605865,-2.632568359,71.57440948,51.04721069
26/02/2019 04:04:06,67.34151459,-2.632568359,71.0161438,50.03184509
26/02/2019 04:03:06,67.24804688,-2.632246256,70.65227509,49.79698563
26/02/2019 04:02:06,67.10597992,-2.631825686,69.95143127,49.56212234
26/02/2019 04:01:06,66.90383148,-2.631405354,69.51548767,49.32726288
26/02/2019 04:00:06,66.52118683,-2.630984783,68.66307068,49.83234024
26/02/2019 03:59:06,66.31476593,-2.630564451,67.93884277,49.08683777
26/02/2019 03:58:06,65.95845032,-2.630143881,67.77380371,48.906147
26/02/2019 03:57:06,65.49357605,-2.629723549,65.89050293,48.73915482
26/02/2019 03:56:06,65.50578308,-2.629302979,65.43554688,48.57216263
26/02/2019 03:55:06,65.01530457,-2.628882647,65.43554688,48.63003159
26/02/2019 03:54:06,64.66030121,-2.628462076,65.39431763,48.71255112
26/02/2019 03:53:06,63.77994537,-2.628041506,65.22967529,48.46811676
26/02/2019 03:52:06,64.52679443,-2.627621174,65.14298248,48.6490097
26/02/2019 03:51:06,64.46498871,-2.627200603,65.20843506,48.53326035
26/02/2019 03:50:06,63.94799423,-2.626780272,65.10275269,48.37945175
26/02/2019 03:49:06,63.69808578,-2.626359701,65.3852005,48.68460846
26/02/2019 03:48:06,64.05352783,-2.625939369,65.40476227,48.65988159
26/02/2019 03:47:06,64.45175171,-2.625518799,65.28951263,48.7976532
26/02/2019 03:46:06,64.06867981,-2.625098467,65.24029541,48.76419067
26/02/2019 03:45:06,64.2805481,-2.624677896,65.30998993,48.70950317
26/02/2019 03:44:06,63.37182236,-2.624257326,65.04362488,48.58411789
26/02/2019 03:43:06,63.10871506,-2.623836994,64.76369476,48.45097733
26/02/2019 03:42:06,63.81459045,-2.623416424,65.24956512,48.31784058
26/02/2019 03:41:06,63.54165268,-2.622996092,65.02293396,48.46046448
26/02/2019 03:40:06,63.22737885,-2.622575521,64.58748627,48.23588943
26/02/2019 03:39:06,63.27457809,-2.62215519,64.92205048,48.21562958
26/02/2019 03:38:06,63.16657257,-2.621734619,65.02739716,48.47368622
26/02/2019 03:37:06,63.05622101,-2.621314287,63.92192841,48.01790619
26/02/2019 03:36:06,62.94586945,-2.619704247,63.67007446,47.75340271
26/02/2019 03:35:06,62.92071152,-2.617730856,64.93765259,47.51878357
26/02/2019 03:34:06,62.89675903,-2.615757465,63.96290207,47.28416061
26/02/2019 03:33:06,62.87280273,-2.613784075,63.19574738,47.04954147
26/02/2019 03:32:06,62.71207428,-2.611810684,61.60811615,47.14411163
26/02/2019 03:31:06,62.54703522,-2.609837532,61.27984619,46.77515793
26/02/2019 03:30:06,62.63950348,-2.607864141,61.56087875,46.36209488
26/02/2019 03:29:06,62.13892365,-2.605890751,59.86357117,46.33493042
26/02/2019 03:28:06,60.90168381,-2.60391736,59.25276184,46.35006714
26/02/2019 03:27:06,60.38741302,-2.601944208,59.08437347,46.29077148
26/02/2019 03:26:06,60.24017334,-2.599970818,59.12605286,46.22331238
26/02/2019 03:25:06,61.09657669,-2.597997427,59.16772842,46.33723831
26/02/2019 03:24:06,61.29888535,-2.596024036,59.20940781,46.46739578
26/02/2019 03:23:06,61.586483,-2.594050646,59.43095398,46.37440872
26/02/2019 03:22:06,62.03321457,-2.592077494,60.10650635,46.25229645
26/02/2019 03:21:06,61.75072098,-2.590104103,60.20620728,46.3326416
26/02/2019 03:20:06,60.47764587,-2.588130713,59.26094818,46.3082962
26/02/2019 03:19:06,61.04216766,-2.586157322,59.18687057,46.27004242
26/02/2019 03:18:06,61.68556213,-2.584183931,59.61228943,46.58713913
26/02/2019 03:17:06,61.74318695,-2.582210779,59.89343643,46.75857925
26/02/2019 03:16:06,61.91618347,-2.580237389,60.15737152,46.90896988
26/02/2019 03:15:06,62.71412659,-2.578263998,61.2273941,47.45804214
26/02/2019 03:14:06,62.83082199,-2.576290607,63.31645203,47.75862503
26/02/2019 03:13:06,62.92095947,-2.574317455,63.24940491,47.46744537
26/02/2019 03:12:06,62.86381531,-2.572344065,62.66388702,47.97211075
26/02/2019 03:11:06,62.83013916,-2.570370674,63.41445541,48.11634827
26/02/2019 03:10:06,62.91613007,-2.568397284,63.99160385,48.21077728
26/02/2019 03:09:06,62.84093475,-2.566423893,64.32865143,48.49399948
26/02/2019 03:08:06,62.92070007,-2.564450741,64.53665924,48.3105545
26/02/2019 03:07:06,63.10480118,-2.56247735,65.00211334,48.41296005
26/02/2019 03:06:06,63.62755966,-2.56050396,65.30214691,48.55260849
26/02/2019 03:05:06,62.97873306,-2.558530569,65.24263,48.69225693
26/02/2019 03:04:06,64.07359314,-2.556557417,65.23974609,48.67085266
26/02/2019 03:03:06,63.37123489,-2.554584026,65.32308197,48.63179016
26/02/2019 03:02:06,65.01198578,-2.552610636,65.40641785,48.31637955
26/02/2019 03:01:06,64.78730011,-2.550637245,65.27294159,49.20599747
26/02/2019 03:00:06,64.65977478,-2.548723459,65.2935257,49.29177094
26/02/2019 02:59:06,64.58731079,-2.546831369,65.30329132,48.28954315
26/02/2019 02:58:06,64.43707275,-2.54493928,65.22907257,48.28201294
26/02/2019 02:57:06,64.08392334,-2.54304719,65.36573029,48.67702484
26/02/2019 02:56:06,64.54169464,-2.5411551,65.33168793,48.50693893
26/02/2019 02:55:06,64.1404953,-2.53926301,65.37846375,48.54453659
26/02/2019 02:54:06,65.28401184,-2.538757324,65.48826599,48.62662506
26/02/2019 02:53:06,65.08048248,-2.538757324,65.56932068,48.9053154
26/02/2019 02:52:06,65.34765625,-2.538757324,66.08293915,49.14358521
26/02/2019 02:51:06,65.38802338,-2.539104462,66.28948975,49.24038696
26/02/2019 02:50:06,65.85677338,-2.539578199,66.35459137,49.42113495
26/02/2019 02:49:06,66.30947113,-2.540051699,67.56290436,49.54104996
26/02/2019 02:48:06,66.54418945,-2.540525436,68.40820313,49.44259262
26/02/2019 02:47:06,66.18817902,-2.540999174,68.2591629,49.40409088
26/02/2019 02:46:06,66.46495056,-2.541472912,68.03650665,49.60031509
26/02/2019 02:45:06,66.55088806,-2.541946411,69.73918152,49.6766243
